nome,posicao,idade,nacionalidade,valor de mercado,clube,altura,pe dominante,contrato,clube anterior,partidas,gols,assistencias,cartoes amarelos,minutos jogados
Murilo,Centre-Back,27,Brazil,8000000,Sociedade Esportiva Palmeiras,188,right,2027-12-31,Lokomotiv Moscow,116,9,3,21,864
Gustavo Gómez,Centre-Back,31,Paraguay,6000000,Sociedade Esportiva Palmeiras,185,right,2027-12-31,AC Milan,166,19,6,45,10
Naves,Centre-Back,22,Brazil,2000000,Sociedade Esportiva Palmeiras,184,right,2028-12-31,SE Palmeiras São Paulo U20,25,0,0,2,1478
Luis Benedetti,Centre-Back,18,Brazil,,Sociedade Esportiva Palmeiras,197,left,2028-06-30,SE Palmeiras São Paulo U20,0,0,0,0,0
Joaquín Piquerez,Left-Back,26,Uruguay,12000000,Sociedade Esportiva Palmeiras,184,left,2026-12-31,CA Peñarol,83,5,8,12,978
Vanderlan,Left-Back,22,Brazil,4000000,Sociedade Esportiva Palmeiras,183,left,2028-12-31,SE Palmeiras São Paulo U20,57,1,6,6,1901
Caio Paulista,Left-Back,26,Brazil,3000000,Sociedade Esportiva Palmeiras,184,left,2028-12-31,Fluminense Football Club,154,7,7,11,581
Agustín Giay,Right-Back,21,Argentina,7500000,Sociedade Esportiva Palmeiras,180,right,2029-12-31,CA San Lorenzo de Almagro,10,0,0,1,644
Mayke,Right-Back,32,Brazil,3000000,Sociedade Esportiva Palmeiras,178,right,2025-12-31,Cruzeiro Esporte Clube,241,8,21,37,1302
Marcos Rocha,Right-Back,36,Brazil,350000,Sociedade Esportiva Palmeiras,176,right,2025-12-31,Clube Atlético Mineiro,351,12,47,78,445
Aníbal Moreno,Defensive Midfield,25,Argentina,11000000,Sociedade Esportiva Palmeiras,177,right,2029-12-31,Racing Club,34,1,1,7,2
Fabinho,Defensive Midfield,22,Brazil,5000000,Sociedade Esportiva Palmeiras,178,right,2027-12-31,SE Palmeiras São Paulo U20,50,1,0,5,1328
Emiliano Martínez,Defensive Midfield,25,Uruguay,4500000,Sociedade Esportiva Palmeiras,185,right,2029-12-31,FC Midtjylland,13,0,0,1,565
Richard Ríos,Central Midfield,24,Colombia,14000000,Sociedade Esportiva Palmeiras,187,right,2028-12-31,Guarani Futebol Clube (SP),62,5,5,12,21
Zé Rafael,Central Midfield,31,Brazil,4000000,Sociedade Esportiva Palmeiras,175,right,2026-12-31,Esporte Clube Bahia,238,21,25,57,1289
Eduard Atuesta,Central Midfield,27,Colombia,2000000,Sociedade Esportiva Palmeiras,180,right,2026-12-31,Los Angeles FC,27,1,0,4,646
Figueiredo,Central Midfield,18,Brazil,,Sociedade Esportiva Palmeiras,177,right,2026-09-30,SE Palmeiras São Paulo U20,0,0,0,0,0
Raphael Veiga,Attacking Midfield,29,Brazil,17000000,Sociedade Esportiva Palmeiras,176,left,2027-03-31,Coritiba Foot Ball Club,221,57,30,25,1085
Mauricio,Attacking Midfield,23,Brazil,10000000,Sociedade Esportiva Palmeiras,174,left,2028-12-31,Sport Club Internacional,129,18,15,12,976
Rômulo,Attacking Midfield,23,Brazil,2000000,Sociedade Esportiva Palmeiras,177,right,2028-12-31,Grêmio Novorizontino,9,0,0,0,171
Allan,Attacking Midfield,20,Brazil,,Sociedade Esportiva Palmeiras,174,left,2027-11-21,SE Palmeiras São Paulo U20,0,0,0,0,0
Felipe Anderson,Left Winger,31,Brazil,6000000,Sociedade Esportiva Palmeiras,175,right,2027-12-31,SS Lazio,81,9,14,11,1126
Bruno Rodrigues,Left Winger,27,Brazil,2000000,Sociedade Esportiva Palmeiras,177,right,2028-12-31,Tombense Futebol Clube (MG),36,8,4,4,4
Estêvão,Right Winger,17,Brazil,50000000,Sociedade Esportiva Palmeiras,176,left,2026-06-30,SE Palmeiras São Paulo U20,32,13,9,4,14
Facundo Torres,Right Winger,24,Uruguay,14000000,Sociedade Esportiva Palmeiras,177,left,2029-12-31,Orlando City SC,0,0,0,0,0
Paulinho,Second Striker,24,Brazil,17000000,Sociedade Esportiva Palmeiras,177,right,2029-12-31,Clube Atlético Mineiro,80,31,4,8,6
José Manuel López,Centre-Forward,24,Argentina,9000000,Sociedade Esportiva Palmeiras,190,left,2027-12-31,CA Lanús,69,17,2,14,1125
Rony,Centre-Forward,29,Brazil,7000000,Sociedade Esportiva Palmeiras,167,right,2026-12-31,Club Athletico Paranaense,191,39,15,20,659
Luighi,Centre-Forward,18,Brazil,2000000,Sociedade Esportiva Palmeiras,182,right,2028-12-31,SE Palmeiras São Paulo U20,3,1,0,0,19
Thalys,Centre-Forward,19,Brazil,1000000,Sociedade Esportiva Palmeiras,184,left,2028-07-15,SE Palmeiras São Paulo U20,0,0,0,0,0
Léo Ortiz,Centre-Back,29,Brazil,11000000,CR Flamengo,185,right,2028-12-31,Red Bull Bragantino,130,7,6,22,547
Léo Pereira,Centre-Back,29,Brazil,9000000,CR Flamengo,189,left,2027-12-31,Club Athletico Paranaense,166,9,3,35,992
Danilo,Centre-Back,33,Brazil,4000000,CR Flamengo,184,right,2026-12-31,Juventus FC,49,5,4,12,2
Pablo,Centre-Back,33,Brazil,900000,CR Flamengo,188,right,2025-12-31,Lokomotiv Moscow,76,1,0,16,543
Cleiton,Centre-Back,21,Brazil,600000,CR Flamengo,194,left,2025-12-31,CR Flamengo U20,5,0,0,0,97
Matías Viña,Left-Back,27,Uruguay,10000000,CR Flamengo,175,left,2028-12-31,AS Roma,36,1,3,7,692
Ayrton Lucas,Left-Back,27,Brazil,8000000,CR Flamengo,180,left,2027-12-31,Spartak Moscow,132,9,12,20,303
Alex Sandro,Left-Back,34,Brazil,1800000,CR Flamengo,180,left,2026-12-31,Juventus FC,55,1,5,9,1870
Zé Welinton,Left-Back,21,Brazil,250000,CR Flamengo,169,left,2025-12-31,,0,0,0,0,0
Wesley,Right-Back,21,Brazil,9000000,CR Flamengo,178,right,2028-12-31,CR Flamengo U20,67,1,3,4,94
Guillermo Varela,Right-Back,31,Uruguay,1500000,CR Flamengo,173,right,2025-12-31,Dynamo Moscow,28,1,0,2,495
Erick Pulgar,Defensive Midfield,31,Chile,5000000,CR Flamengo,187,right,2025-12-31,ACF Fiorentina,54,2,6,15,358
Allan,Defensive Midfield,27,Brazil,5000000,CR Flamengo,172,left,2027-12-31,Clube Atlético Mineiro,157,0,1,38,490
Evertton Araújo,Defensive Midfield,21,Brazil,5000000,CR Flamengo,185,right,2028-12-31,Volta Redonda FC U20,16,1,0,3,800
Caio Garcia,Defensive Midfield,20,Brazil,,CR Flamengo,175,right,2026-12-31,,0,0,0,0,0
Gerson,Central Midfield,27,Brazil,20000000,CR Flamengo,184,left,2027-12-31,Olympique Marseille,160,12,24,22,442
Nicolás de la Cruz,Central Midfield,27,Uruguay,18000000,CR Flamengo,167,right,2028-06-30,CA River Plate,15,2,3,3,1
Giorgian de Arrascaeta,Attacking Midfield,30,Uruguay,14000000,CR Flamengo,174,right,2026-12-31,Cruzeiro Esporte Clube,222,59,69,26,937
Lorran,Attacking Midfield,18,Brazil,12000000,CR Flamengo,180,left,2029-12-31,CR Flamengo U20,19,1,1,0,704
Everton,Left Winger,28,Brazil,9000000,CR Flamengo,174,right,2026-06-30,SL Benfica,200,43,26,12,1308
Michael,Left Winger,28,Brazil,7000000,CR Flamengo,166,right,2028-12-31,Al-Hilal SFC,102,27,11,7,1149
Bruno Henrique,Left Winger,34,Brazil,1200000,CR Flamengo,184,right,2026-12-31,Santos FC,242,66,45,64,629
Gonzalo Plata,Right Winger,24,Ecuador,6000000,CR Flamengo,178,left,2029-06-30,Al-Sadd SC,11,1,0,1,686
Luiz Araújo,Right Winger,28,Brazil,4000000,CR Flamengo,175,left,2027-12-31,Atlanta United FC,71,11,9,9,1796
Matheus Gonçalves,Right Winger,19,Brazil,4000000,CR Flamengo,175,left,2027-12-31,CR Flamengo U20,31,2,1,4,1175
Thiaguinho,Right Winger,23,Brazil,700000,CR Flamengo,170,left,2025-12-31,Clube Náutico Capibaribe,2,0,0,0,19
Pedro,Centre-Forward,27,Brazil,23000000,CR Flamengo,185,right,2027-12-31,: Ablöse €14.00m,184,72,17,15,1243
Juninho,Centre-Forward,28,Brazil,2000000,CR Flamengo,179,right,2028-12-31,Qarabağ FK,6,0,0,1,170
Wallace Yan,Centre-Forward,19,Brazil,,CR Flamengo,180,right,,CR Flamengo U20,1,0,0,0,15
Félix Torres,Centre-Back,28,Ecuador,4000000,Sport Club Corinthians Paulista,187,right,2027-12-31,Santos Laguna,22,0,0,3,1
Cacá,Centre-Back,25,Brazil,3000000,Sport Club Corinthians Paulista,187,right,2028-12-31,Tokushima Vortis,67,7,1,15,184
André Ramalho,Centre-Back,32,Brazil,2500000,Sport Club Corinthians Paulista,182,both,2026-12-31,PSV Eindhoven,18,0,1,5,1
Gustavo Henrique,Centre-Back,31,Brazil,1000000,Sport Club Corinthians Paulista,194,right,2025-12-31,Real Valladolid CF,202,13,3,43,560
Tchoca,Centre-Back,21,Brazil,500000,Sport Club Corinthians Paulista,192,right,2026-12-31,SC Corinthians U20,1,0,0,0,8
Renato Santos,Centre-Back,20,Brazil,,Sport Club Corinthians Paulista,188,right,2025-12-31,SC Corinthians U20,0,0,0,0,0
Matheus Bidu,Left-Back,25,Brazil,2500000,Sport Club Corinthians Paulista,172,left,2025-12-31,Guarani Futebol Clube (SP),47,2,1,5,2
Diego Palacios,Left-Back,25,Ecuador,2200000,Sport Club Corinthians Paulista,169,left,2027-12-31,Los Angeles FC,0,0,0,0,0
Hugo,Left-Back,27,Brazil,1500000,Sport Club Corinthians Paulista,179,left,2026-12-31,Goiás EC,59,1,5,8,701
Matheuzinho,Right-Back,24,Brazil,4000000,Sport Club Corinthians Paulista,171,right,2028-12-31,CR Flamengo,113,4,7,17,1059
Léo Mana,Right-Back,20,Brazil,800000,Sport Club Corinthians Paulista,179,right,2029-12-31,SC Corinthians U20,9,0,0,2,387
Raniele,Defensive Midfield,28,Brazil,3500000,Sport Club Corinthians Paulista,184,right,2028-12-31,Cuiabá Esporte Clube (MT),112,5,1,28,287
José Martínez,Defensive Midfield,30,Venezuela,3000000,Sport Club Corinthians Paulista,178,right,2027-12-31,Philadelphia Union,11,0,0,5,636
Ryan,Defensive Midfield,21,Brazil,2000000,Sport Club Corinthians Paulista,170,left,2028-12-31,SC Corinthians U20,11,0,0,2,524
Breno Bidon,Central Midfield,19,Brazil,8000000,Sport Club Corinthians Paulista,178,left,2029-12-31,SC Corinthians U20,29,0,0,5,1
Maycon,Central Midfield,27,Brazil,3000000,Sport Club Corinthians Paulista,175,left,2025-12-31,Shakhtar Donetsk,114,5,8,15,1637
Alex Santana,Central Midfield,29,Brazil,2000000,Sport Club Corinthians Paulista,182,right,2027-12-31,Club Athletico Paranaense,103,14,1,23,1616
Charles,Central Midfield,28,Brazil,1200000,Sport Club Corinthians Paulista,187,right,2028-12-31,FC Midtjylland,52,3,2,12,748
Rodrigo Garro,Attacking Midfield,27,Argentina,14000000,Sport Club Corinthians Paulista,174,left,2028-12-31,CA Talleres,36,10,10,7,3
Igor Coronado,Attacking Midfield,32,Italy,3000000,Sport Club Corinthians Paulista,170,right,2026-12-31,Al-Ittihad Club,30,1,2,6,1
André Carrillo,Attacking Midfield,33,Peru,1200000,Sport Club Corinthians Paulista,180,right,2026-12-31,Al-Qadsiah FC,13,0,2,3,734
Talles Magno,Left Winger,22,Brazil,7000000,Sport Club Corinthians Paulista,186,right,2025-07-01,New York City FC,63,7,2,11,487
Ángel Romero,Left Winger,32,Paraguay,1200000,Sport Club Corinthians Paulista,176,right,2025-12-31,CD Cruz Azul,167,30,14,34,1563
Kayke,Right Winger,20,Brazil,250000,Sport Club Corinthians Paulista,176,right,2027-06-30,SC Corinthians U20,2,0,0,0,13
Yuri Alberto,Centre-Forward,23,Brazil,14000000,Sport Club Corinthians Paulista,183,right,2027-12-31,: Ablöse free transfer,150,53,14,25,310
Memphis Depay,Centre-Forward,30,Netherlands,10000000,Sport Club Corinthians Paulista,178,right,2026-12-31,Without Club,11,7,1,3,797
Giovane,Centre-Forward,21,Brazil,3500000,Sport Club Corinthians Paulista,184,left,2025-06-30,Capivariano FC,26,2,0,3,690
Pedro Raul,Centre-Forward,28,Brazil,2000000,Sport Club Corinthians Paulista,193,right,2028-12-31,Deportivo Toluca,90,28,3,15,1365
Héctor Hernández,Centre-Forward,29,Spain,1700000,Sport Club Corinthians Paulista,180,right,2026-12-31,GD Chaves,3,0,0,0,64
Alexander Barboza,Centre-Back,29,Argentina,5000000,Botafogo de Futebol e Regatas,193,left,2026-12-31,Club Libertad Asunción,26,0,1,9,2
Lucas Halter,Centre-Back,24,Brazil,2500000,Botafogo de Futebol e Regatas,188,right,2027-12-31,Club Athletico Paranaense,82,4,1,17,1374
David Ricardo,Centre-Back,22,Brazil,1000000,Botafogo de Futebol e Regatas,189,left,,Ceará Sporting Club,5,0,0,2,398
Bastos,Centre-Back,33,Angola,1000000,Botafogo de Futebol e Regatas,184,right,2026-12-31,Al-Ahli SFC,36,3,0,6,119
Philipe Sampaio,Centre-Back,30,Brazil,450000,Botafogo de Futebol e Regatas,191,right,,EA Guingamp,29,0,0,4,585
Alex Telles,Left-Back,32,Brazil,5000000,Botafogo de Futebol e Regatas,181,left,2026-12-31,Al-Nassr FC,47,1,4,5,656
Cuiabano,Left-Back,21,Brazil,4500000,Botafogo de Futebol e Regatas,179,left,2027-12-31,Grêmio Foot-Ball Porto Alegrense,36,5,1,8,650
Vitinho,Right-Back,25,Brazil,6000000,Botafogo de Futebol e Regatas,174,right,2029-12-31,Burnley FC,12,0,0,0,799
Mateo Ponte,Right-Back,21,Uruguay,1500000,Botafogo de Futebol e Regatas,183,right,2026-12-31,Danubio FC,18,3,0,4,22
Marlon Freitas,Defensive Midfield,29,Brazil,7000000,Botafogo de Futebol e Regatas,185,right,2026-12-31,Atlético Clube Goianiense,177,8,15,25,11
Gregore,Defensive Midfield,30,Brazil,6000000,Botafogo de Futebol e Regatas,181,right,2026-12-31,Inter Miami CF,135,3,12,34,10
Danilo Barbosa,Defensive Midfield,28,Brazil,3000000,Botafogo de Futebol e Regatas,183,right,2025-06-30,OGC Nice,69,6,3,10,611
Allan,Defensive Midfield,34,Brazil,3000000,Botafogo de Futebol e Regatas,175,right,2026-12-31,Al-Wahda FC,48,0,1,8,1185
Patrick de Paula,Defensive Midfield,25,Brazil,1200000,Botafogo de Futebol e Regatas,180,left,2026-12-31,Sociedade Esportiva Palmeiras,80,4,2,16,300
Newton,Defensive Midfield,24,Brazil,250000,Botafogo de Futebol e Regatas,188,right,2027-12-31,Esporte Clube Jacuipense (BA),31,1,1,7,9
Jefferson Savarino,Attacking Midfield,28,Venezuela,9000000,Botafogo de Futebol e Regatas,168,right,2026-12-31,Real Salt Lake City,81,22,15,7,94
Kauê,Attacking Midfield,20,Brazil,1000000,Botafogo de Futebol e Regatas,174,right,2026-03-31,Botafogo FR U20,8,1,0,0,162
Matheus Martins,Left Winger,21,Brazil,7000000,Botafogo de Futebol e Regatas,179,right,2028-12-31,Udinese Calcio,51,5,5,5,555
Jeffinho,Left Winger,25,Brazil,5000000,Botafogo de Futebol e Regatas,176,right,2028-12-31,Olympique Lyon,31,3,4,5,352
Artur,Right Winger,26,Brazil,8000000,Botafogo de Futebol e Regatas,168,left,2029-12-31,Zenit St. Petersburg,165,31,24,20,123
Rafael Lobato,Right Winger,18,Brazil,,Botafogo de Futebol e Regatas,170,left,2025-09-30,Botafogo FR U20,0,0,0,0,0
Igor Jesus,Centre-Forward,23,Brazil,15000000,Botafogo de Futebol e Regatas,179,right,2027-12-31,Shabab Al-Ahli Club,32,5,3,2,507
Matheus Nascimento,Centre-Forward,20,Brazil,5000000,Botafogo de Futebol e Regatas,185,right,2025-12-31,Botafogo FR U17,40,1,2,3,1273
Vitão,Centre-Back,25,Brazil,9000000,Sport Club Internacional,185,right,2026-12-31,Shakhtar Donetsk,87,2,0,11,6
Kaique Rocha,Centre-Back,23,Brazil,3000000,Sport Club Internacional,195,right,2027-12-31,Club Athletico Paranaense,49,1,1,9,1310
Clayton,Centre-Back,24,Brazil,1000000,Sport Club Internacional,187,right,2028-12-31,Avs Futebol,8,0,0,1,533
Agustín Rogel,Centre-Back,27,Uruguay,600000,Sport Club Internacional,191,right,2025-06-30,Hertha BSC,15,0,1,1,1
Gabriel Mercado,Centre-Back,37,Argentina,200000,Sport Club Internacional,180,right,2025-12-31,Al-Rayyan SC,81,2,0,29,846
Victor Gabriel,Centre-Back,20,Brazil,100000,Sport Club Internacional,185,left,2025-12-31,SC Internacional U20,1,0,0,1,45
Pedro Kauã,Centre-Back,18,Brazil,,Sport Club Internacional,193,right,,,0,0,0,0,0
Alexandro Bernabei,Left-Back,24,Argentina,6000000,Sport Club Internacional,169,left,2028-12-31,Celtic FC,23,3,5,5,2
Ramon,Left-Back,23,Brazil,2000000,Sport Club Internacional,179,left,2027-12-31,Olympiacos Piraeus,61,2,1,11,1478
Pablo,Left-Back,18,Brazil,,Sport Club Internacional,,left,,,0,0,0,0,0
Nathan,Right-Back,23,Brazil,2000000,Sport Club Internacional,183,right,2025-06-30,Santos FC,17,0,0,3,1126
Braian Aguirre,Right-Back,24,Argentina,1700000,Sport Club Internacional,175,right,2027-12-31,CA Lanús,1,0,0,0,90
